day,slide_number,shape_id,shape_name,shape_type,japanese,english,status,notes
day2,8,25,テキスト ボックス 24,textbox,空き資源,Free resources,approved,
day2,8,26,テキスト ボックス 25,textbox,空き資源,Free resources,approved,
day2,8,38,正方形/長方形 37,autoshape,1ノードジョブ\n(実行中),1-node job\n(running),approved,
day2,8,40,テキスト ボックス 39,textbox,現在時刻,Current time,approved,
day2,8,42,テキスト ボックス 41,textbox,終了予定時刻,Estimated end time,approved,
day2,8,43,正方形/長方形 42,autoshape,4ノードジョブ,4-node job,approved,
day2,8,47,テキスト ボックス 46,textbox,空き資源,Free resources,approved,
day2,8,48,正方形/長方形 47,autoshape,長い\n1ノードジョブ,Long\n1-node job,approved,
day2,8,49,正方形/長方形 48,autoshape,短い\n2ノードジョブ,Short\n2-node job,approved,
day2,8,50,正方形/長方形 49,autoshape,長い\n1ノードジョブ,Long\n1-node job,approved,
day2,8,53,テキスト ボックス 52,textbox,1ノードジョブが実行中\n4ノードジョブが待っている\nその後に短い2ノードジョブが来た,A 1-node job is running\nA 4-node job is waiting\nThen a short 2-node job arrives,approved,layout check
day2,8,56,テキスト ボックス 55,textbox,計画通り,As planned,approved,
day2,8,58,テキスト ボックス 57,textbox,後から投げられた2ノードジョブが\n前のジョブを追い越して実行される\n(バックフィル),A later 2-node job overtakes the earlier job and runs\n(backfill),approved,layout check
